review,aspect,key_aspect,count,product
the sound quality is very good,good quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
like its predecessor the quickly revised nx this player boasts a decent size and weight a relativelyintuitive navigational system that categorizes based on id3 tags and excellent sound widely known to be better than ipod not surprising considering the number of years creative has been in the audio peripheral business ,excellent sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
excellent sound i found the music reproduced faithfully through the jukebox,excellent sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound is excellent but a tip get a real pair of headphones,excellent sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound is excellent as one would suspect from a creative product,excellent sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
although the soundquality is good it takes more than good sound on a portablemp 3 player to result in a good product,good sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
on the positive side the sound of the player is pretty good once you have everything configured,good sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
but the sound is very good and loud and works well on my portable speakers,good sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
sound quality is amazing i was expecting worse but its really good especially if your files have good sound quality ,amazing quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
sound quality on this is amazing as with all creative products,amazing quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound level is also not as high as i would have expected,sound level,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
plusses are the easy to remove battery and the terrific sound produced by the nomad,terrific sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound quality is fantastic cd quality and it is really great to carry this around instead of stacks of cds or tapes,fantastic quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
the player is intuitive and outputs great sound quality,great quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound quality is also nice after i hooked up my sony headphones instead of those factory earbuds it comes with,nice quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
also the sound is wonderful my only gripe were those aweful earphones that this came with,wonderful sound,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound quality is excellent and i am fussy with that stuff the unit looks cool screen is bright and easy to read and the replaceable battery means a major advantage over the ipod besides the price but everyone knows that ,excellent quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
first the sound quality is okay but as at least one other reviewer has mentioned the eax can because audio interference after about 30 minutes,okay quality,sound quality,51,Creative Labs Nomad Jukebox Zen Xtra 40GB
 included creative software is pretty poor,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
however the creative software is not real intuitive,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
a lot of people complain about the creative software but i actually find creative mediasource organizer to have some strengths over itunes,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
third creative software allows you to keep two windows open to look at both the content on the player and the computer,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
1 creative mediasource software is ok to rip catalog burn music if you are starting from scratch but i used musicmatch to rip my cds before i bought the zen 278 cds 3400 tracks 125 gb of music all ripped at 128bps and guess what,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the creative software is awkward difficult to use and just plain does not load on some computers,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
creative software stinks,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
as i mentioned before the creative mediasource software is actually really robust despite what others have said though notmad may still work better,creative software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
software is easy to use although redhat software is better but costs money ,easy software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software is very easy to use and within 30 minutes of opening my box i was out and about listening to any one of my 80 cds,easy software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software is quick easy to use i found the entire process very easily mastered,easy software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
i uploaded the drivers and new software in 15 minutes no crashes or problems,new software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the new organizer software that ships with the nomad zen xtra could not be easier to use,new software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software is great,great software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software was great as long as you have an adminstrative user account windows xp ,great software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software which comes with player is not good at all,not good software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software is not good either and the driver has trouble working with other sound blaster products which is very dumb,not good software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the pcside software can be goofy and takes a little getting used to but its not as bad as some reviewers have indicated,pcside software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
great sound good interface replaceable powerful battery good software wakeup sleep timers multiple play modes,good software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
however the creative software is not real intuitive,not intuitive software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the creative software is awkward difficult to use and just plain does not load on some computers,difficult software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
i do not know what other people are saying but the software is awesome,awesome software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software is somewhat nice to look at using it is not the easiest,nice software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software could not be better and the mp3 player works like a dream i could not give this anything but a 5 i wish there was a 6,not better software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
i thought the software was decent enough it was not complicated to learn at all,decent software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
the software interface supplied was very easy to use but i went ahead and got red chairs notmad software because of some advanced features i wanted,easy software interface,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
as i mentioned before the creative mediasource software is actually really robust despite what others have said though notmad may still work better,robust mediasource software,creative software,27,Creative Labs Nomad Jukebox Zen Xtra 40GB
this thing seriously is a good player though,good player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
the nomad jukebox zen xtra is a very good mp3 player but the software is it gets hurt,good player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
i have no problem using the player itself and i feel it is a very good player,good player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
a good player at a great price with terrible software that makes ripping and transferring way more difficult than it should be,good player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
in short this player is good at size value hardware design but really bad at its software,good player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
the creative labs zen xtra has all the features the ipod has and if you get if from amazon your only going to pay 300 for this great player,great player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
all in all this a great player that blows the ipod away with easy to use and understand features software that is simple to understand and use and a great sound which is all that matters in a mp3 player ,great player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
but if you want a great deal and a great mp3 player get the nomad,great player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
otherwise this player is awesome,awesome player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
overall this player is awesome and i definately recommend it,awesome player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
because other people that complain about this player are talking bull this player is awesome it just breaks fast which is horrible,awesome player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
i really do recommend this to anyone in need of a new player,new player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
all in all though i am very happy with my new mp3 player,new player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
i have had it for about 2 weeks and its the best player i have seen and used ever,best player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
on the subject of headphones this thing seems like a normal mp3 player when you use the headphones they give you in the box but invest 30 dollars in a nice pair and the sound quality goes up through the roof,normal player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
also navigating while playing music is a plus unlike my previous player,previous player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
took me a few tries to get use to the navigation but its a very user friendly player i am going to,friendly player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
i was unable achieve a sound quality on par with my simple portable cd player with bass boost,simple player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
what really made this a mediocre mp3 player for me was the software,mediocre player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
finally the software used to put all the songs into it is vastly inferior to itunes on two levels first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format sucks flat out sucks in terms of sound quality compared with the vastly superior aac format the apple ipod uses and it sticks you with one of the sub par paid music services such as napster instead of allowing to use the itunes store which if you ever plan to pay for your music is by far the best,overall player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
considering the price and specs this might be the best buy out there for a large memory mp3 player,large player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
this is an excellent player especially for the price with features that are comparable to and even excel the ipod,excellent player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
i have the software working fine now and the mp3 player is fantastic,fantastic mp3 player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
the player is fast and sounds great it also has many options like slowing or speeding up the music or making it sound like you are hearing the music in a huge auditorium,fast player,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
first ill start off by saying that this players hardware is pretty good,good players,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
its really a shame because otherwise creative mp3 players are very good and have the best sound quality of any players on the market,good mp3 players,good player,26,Creative Labs Nomad Jukebox Zen Xtra 40GB
zennxs replaceable battery was the deciding factor in my purchase of zennx over ipod,replaceable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound quality is excellent and i am fussy with that stuff the unit looks cool screen is bright and easy to read and the replaceable battery means a major advantage over the ipod besides the price but everyone knows that ,replaceable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
3 user replaceable battery,replaceable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
price along with the replaceable battery which i understand apple charges a small fortune to replace as well as the hassle of returning it were the two main factors on why i picked the nomad,replaceable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the battery is replaceable a real plus and there is a leather case another real plus ,replaceable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
 removable battery,removable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
pros huge storage capacity for the price easy to navigate can modify existing playlists on the fly has a removable battery,removable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
removable and cheap battery a li battery usually works properly for 13 years,removable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
great sound very long battery life i routinely play it for 12 hours very fast recharges rate removable battery storage size nice screen firmware updates and great price,removable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
 the replacable battery is great since once it eventually wears out as all lithium batteries do you will be able to buy another easily,replacable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
first the battery is replacable by the user because creative intended it to be unlike apple with the ipod,replacable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
1 a spare battery would have been great,spare battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
5 the cheap userreplaceable battery 50 from creative is a great advantage over the ipods battery which costs 100 to replace,userreplaceable battery,replaceable battery,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
3 it does not work automatically like a hard drive when you connect it to your computer like some players,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the player feels very delicate as if i am holding an actual hard drive,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the cd ripping to mp3 is so easy and you can even rip the cd directly to the mp3 player so it will not take up space on your pc hard drive,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the zen is an outstanding way to shuttle music between sources you cannot do this on the ipod except for a cumbersome workaround using the ipod as a hard drive instead of a player ,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
4 the zen stores data files but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk they must be copied to another hard drive to be launched ,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
my gut tells me the nomad will in the long run be at best a 40gb portable hard drive albeit one on which i cannot create folders or at worst a very expensive lesson in companies never to buy products from again i have their audigy sound card and find it in many ways equally frustrating ,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
i am annoyed that the players not automatically recognized as a hard drive,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
always carried it in a case in by briefcase but one day the hard drive just zapped,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
however my hard drive did fail and i have not dropped it once,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
in that model the hard drive just died one morning before my class,hard drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
transfer through windows explorer windows recognizes the jukebox as an additional hard disk so it allows you to simply drag and drop files from windows explorer to a folder for the nomad,hard disk,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the zen does not support folders so it is not really a storage device even with third party software that creates folders documents and programs cannot be launched from the zen so it is not a hard disk its a storage device at best,hard disk,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the player feels very delicate as if i am holding an actual hard drive,actual drive,hard drive,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
great price,great price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
a good player at a great price with terrible software that makes ripping and transferring way more difficult than it should be,great price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
great sound very long battery life i routinely play it for 12 hours very fast recharges rate removable battery storage size nice screen firmware updates and great price,great price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
the price compared to the ipod is great,great price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
i am willing to overlook its problems to get superior sound quality and low price although i feel the player has a lot of room for improvement,low price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
but with a low price comes lower quality,low price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
 great value 40gb vs 10 gb ipod for the price,great value,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
i have seen them all the archos dell ipods everything good price and great sound makes this one the best in my opinion,good price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
pros huge storage capacity for the price easy to navigate can modify existing playlists on the fly has a removable battery,easy price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
our special friends at creative gave this thing good sound quality great features long battery life and an unbeatable price,unbeatable price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
when it came down to it the price on this player is hard to beat,hard price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
lastly the price is fantastic ,fantastic price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
possibly the biggest advantage this player has if price was not enough is the fact that the user can replace the battery him herself by opening the lid and popping in the new battery,not enough price,great price,13,Creative Labs Nomad Jukebox Zen Xtra 40GB
 large easy readable screen,easy screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
the screen is very easy to read and the blue light is bright enough to read at night but dim enough so it does not blind you when you stare too long,easy screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
 screen was good easy to read,easy screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound quality is excellent and i am fussy with that stuff the unit looks cool screen is bright and easy to read and the replaceable battery means a major advantage over the ipod besides the price but everyone knows that ,cool screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
2 no games it has a cool screen why not use it,cool screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
 large easy readable screen,large screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
the screen is large and bright and has all the info i need where i need it,large screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
great sound very long battery life i routinely play it for 12 hours very fast recharges rate removable battery storage size nice screen firmware updates and great price,nice screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
the high resolution screen is easy to read and has a backlight,easy resolution screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
b the screen is hard to read the cover hides it an already annoying poorly lit display,hard screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
now here is the stuff you should know starting with the good things the screen is really big and the blue light in the back is perfect fast as hell in music transfer controls are easy to use after mastering the scroll button great sound and i have heard many mp3 players a ton of different equilizer type deals on here,big screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
the screen may be a little smaller but it is very readable and does not come in the overused blue,smaller screen,easy screen,12,Creative Labs Nomad Jukebox Zen Xtra 40GB
the cons are not really a big deal to me except one con that does annoy me is the way it stores files no folder structure and its based on the title of the songs many of my songs where seperated into folders on the pc and a few had same titles so i had to change the titles to make sure that i did not have any that might be the same as another,big deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
people also have complained about the case not having a window but that is not really a big deal to me either the case is sturdy and offers very good protection,big deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
 equipment included is average but that is not a big deal since that is not what you are buying it for,big deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
the case is strong and stylish but unfortunately lacks a window now a big deal ,big deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
the scroll button is sort of annoying to push a nice button would be nicer but eh not a big deal,big deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
but if you want a great deal and a great mp3 player get the nomad,great deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
anyway this player is a great deal and i really love it,great deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
i chose this one because from what i read it was the best deal for the money,best deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
this is a good deal for music and data storage,good deal,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
since batteries do run out on everything this will also be a big moneysaver since ipods irivers rca dell all have builtin batteries that need to be replaced by a technician apple charges 100 bones for the battery replacement ,big moneysaver,big deal,10,Creative Labs Nomad Jukebox Zen Xtra 40GB
2 the player user interface ui is intuitive to use and allows easy navigation of a large or small collection,easy navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
navigation is easy and i found that syncing files from the player to the computer and vice versa was easy too,easy navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
difficult navigation i will not necessarily say difficult but i do not enjoy the scrollwheel to navigate,difficult navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
navigation is a bit tricky and takes getting used to but the included pdf instructions cover the operation pretty well,tricky navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
navigation is so smooth and finding files is a cinch,smooth navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
in any case navigation by artist album is ok however i miss an ability to navigate by folders,ok navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
the navigation is nice enough but scrolling and searching through thousands of tracks hundreds of albums or artists or even dozens of genres is not conducive to save driving,nice navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
navigation could be better but there is not really anything the zen xtra cannot do once you have gotten comfortable with it,better navigation,easy navigation,8,Creative Labs Nomad Jukebox Zen Xtra 40GB
 the replacable battery is great since once it eventually wears out as all lithium batteries do you will be able to buy another easily,great battery,great battery,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
1 a spare battery would have been great,great battery,great battery,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
5 the cheap userreplaceable battery 50 from creative is a great advantage over the ipods battery which costs 100 to replace,cheap battery,great battery,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
possibly the biggest advantage this player has if price was not enough is the fact that the user can replace the battery him herself by opening the lid and popping in the new battery,new battery,great battery,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
even the battery life is great it advertises 14 hours its actually a little less but still good,great battery life,great battery,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
the battery is nice,nice battery,great battery,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
battery life is about 14 of that advertised no operators manual available for any of the nomad zen players on or offline occasional software lockups replacement battery is expensive,expensive replacement battery,great battery,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
being a creative product the playback quality is unbeatable,creative product,creative product,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound is excellent as one would suspect from a creative product,creative product,creative product,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
allinall this is another excellent creative product,creative product,creative product,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
so yes as with all software bundled with creative products it was useless and ugly,creative products,creative product,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
sound quality on this is amazing as with all creative products,creative products,creative product,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
i will never buy a creative product again,never creative product,creative product,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
8 creative mediasource although not as sleek looking as windows mediaplayer is effective in organizing your collection and is linked to a good cddb service gracenotes ,creative mediasource,creative product,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
size bigger than the ipod,bigger size,bigger size,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
1 the size is a little bit bigger than the ipod and it weighs a little bit more,bigger size,bigger size,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
the size is small just a little bit bigger than an ipod ,bigger size,bigger size,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
like its predecessor the quickly revised nx this player boasts a decent size and weight a relativelyintuitive navigational system that categorizes based on id3 tags and excellent sound widely known to be better than ipod not surprising considering the number of years creative has been in the audio peripheral business ,decent size,bigger size,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
this did not bother me too much because its still a decent size,decent size,bigger size,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
the xtra improves upon the zen nx with a larger nowblue backlit screen which is infinitely better,larger nowblue,bigger size,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
i was willing to live with the larger size inconvenient on the road but the durability was a big zero,larger size,bigger size,7,Creative Labs Nomad Jukebox Zen Xtra 40GB
a good player at a great price with terrible software that makes ripping and transferring way more difficult than it should be,terrible software,terrible software,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
 software is absolutely terrible ,terrible software,terrible software,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
although the supplied software can be annoying at times on whole it is excellent,annoying software,terrible software,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
software the software is crap,crap software,terrible software,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
1 creative mediasource software is ok to rip catalog burn music if you are starting from scratch but i used musicmatch to rip my cds before i bought the zen 278 cds 3400 tracks 125 gb of music all ripped at 128bps and guess what,ok mediasource software,terrible software,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
the pcside software can be goofy and takes a little getting used to but its not as bad as some reviewers have indicated,goofy software,terrible software,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
the only complaint i have is that when you push in the scroll wheel to select you have to push straight in or it sticks,only complaint,only complaint,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
my only significant complaint is sound quality,only complaint,only complaint,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
my only complaint would be that you need id3 tags that takes a while to do if your mp3 files do not have them,only complaint,only complaint,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
it does not have firewire not a real complaint since most windows users do not generally have firewire cards themselves,not real complaint,only complaint,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
my only significant complaint is sound quality,significant complaint,only complaint,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
my biggest complaint is the battery life or lack there of,biggest complaint,only complaint,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
although the soundquality is good it takes more than good sound on a portablemp 3 player to result in a good product,good product,good product,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
well i have to say that this product is very good i mean it might be a little big but it still fits in your pocket,good product,good product,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
overall a very disappointing product,disappointing product,good product,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
this is my second creative labs mp3 player and it is definitely a fine product,fine product,good product,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
allinall this is another excellent creative product,excellent product,good product,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
creative zen feedback suffers from construction quality poor product support difficulty of using the scroll wheel and reasonably consistent feedback about problems with the headphone jack,poor product,good product,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
the creative labs zen xtra has all the features the ipod has and if you get if from amazon your only going to pay 300 for this great player,creative labs,creative labs,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
i have not had time to really push this player to the limit but audio aspects on the nomad are satisfactory as should be expected from creative labs,creative labs,creative labs,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
i love this player and would probably go with creative labs again,creative labs,creative labs,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
this is my second creative labs mp3 player and it is definitely a fine product,creative labs,creative labs,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
creative labs customer support website is useless,creative labs,creative labs,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
overall it is a great unit hopefully creative labs or some other vendor will soon come out with some accessories for it,creative labs,creative labs,6,Creative Labs Nomad Jukebox Zen Xtra 40GB
the zx boasts superior sound quality than the ipod however it compromises a bit of the units size in doing so,superior quality,superior quality,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
i am willing to overlook its problems to get superior sound quality and low price although i feel the player has a lot of room for improvement,superior quality,superior quality,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
the sound quality with jazz and pop music is equally superior,superior quality,superior quality,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
but with a low price comes lower quality,lower quality,superior quality,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
being a creative product the playback quality is unbeatable,unbeatable quality,superior quality,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
at the very least a sturdier more protective carrying case would be nice,least case,small case,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
e the case is too small it took me like a half hour just to get this monstrosity to fit in its cage,small case,small case,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
the case is strong and stylish but unfortunately lacks a window now a big deal ,strong case,small case,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
my case does not close maybe mine was just faulty but the case is not that great,not great case,small case,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
it comes with a good case that fits it snuggly,good case,small case,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
our special friends at creative gave this thing good sound quality great features long battery life and an unbeatable price,long life,long life,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
great sound very long battery life i routinely play it for 12 hours very fast recharges rate removable battery storage size nice screen firmware updates and great price,long life,long life,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
6 excellent battery life 14 hours beats ipods,excellent life,long life,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
the battery stays charged for a long time and takes no more than 2 or 3 hours at most to fully recharge via the included ac adapter,long time,long life,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
once again the sound is awesome the batterly life is only 68 hours and that is because all my music is 320 kbps which does affect the battery life,batterly life,long life,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
it could be a little bit bigger but its easy to get used to,little bit,little bit,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
1 the size is a little bit bigger than the ipod and it weighs a little bit more,little bit,little bit,5,Creative Labs Nomad Jukebox Zen Xtra 40GB
